age,interval,wl,wm,ws,Delta,minus3sd,minus2sd,minus1sd,Median,plus1sd,plus2sd,plus3sd,sex
4,3,0.6503,3215.101,0.16539,650,1116,1565,2049,2565,3112,3688,4293,1
5,3,0.5884,2661.5629,0.17708,650,758,1139,1558,2012,2500,3022,3576,1
6,3,0.5368,2231.9042,0.1885,650,488,815,1180,1582,2021,2496,3007,1
7,3,0.4999,1939.0717,0.19877,650,305,595,923,1289,1694,2137,2618,1
8,3,0.4819,1745.5952,0.20848,650,179,446,751,1096,1479,1902,2365,1
9,3,0.4866,1611.6464,0.21853,650,82,336,629,962,1334,1745,2197,1
10,3,0.5135,1514.8958,0.2294,650,-2,248,537,865,1232,1637,2081,1
11,3,0.5582,1442.6013,0.24108,650,-79,173,464,793,1159,1561,1998,1
12,3,0.6092,1387.884,0.25261,650,-148,109,405,738,1105,1506,1938,1
13,3,0.658,1346.3553,0.26315,650,-208,56,358,696,1066,1466,1893,1
14,3,0.7,1314.9304,0.27214,650,-258,13,322,665,1037,1435,1858,1
15,3,0.7323,1291.3726,0.27922,650,-297,-20,295,641,1015,1412,1832,1
16,3,0.755,1273.886,0.28446,650,-326,-44,275,624,998,1395,1811,1
17,3,0.7695,1261.0053,0.28821,650,-346,-61,260,611,986,1382,1797,1
18,3,0.7769,1251.6296,0.29074,650,-358,-73,250,602,977,1372,1786,1
19,3,0.7781,1244.9248,0.29231,650,-365,-79,244,595,970,1366,1779,1
20,3,0.774,1240.2027,0.29311,650,-366,-82,239,590,965,1361,1775,1
21,3,0.7663,1235.8993,0.2935,650,-365,-83,236,586,960,1357,1772,1
22,3,0.7569,1229.8975,0.29388,650,-363,-85,232,580,954,1350,1767,1
23,3,0.7475,1220.6029,0.2946,650,-362,-89,225,571,943,1339,1756,1
24,3,0.7393,1206.8517,0.29591,650,-365,-96,214,557,927,1322,1738,1
3,3,0.2298,3403.924,0.16227,800,1231,1629,2085,2604,3192,3855,4600,2
4,3,0.0924,3054.351,0.15958,800,1072,1409,1801,2254,2779,3383,4079,2
5,3,0.0599,2618.644,0.16338,800,792,1083,1422,1819,2281,2819,3445,2
6,3,0.13,2277.568,0.1699,800,544,809,1118,1478,1894,2376,2931,2
7,3,0.2404,2030.292,0.1796,800,340,594,890,1230,1621,2065,2570,2
8,3,0.358,1855.016,0.19157,800,175,429,721,1055,1433,1856,2328,2
9,3,0.4576,1724.58,0.20334,800,43,300,593,925,1295,1704,2153,2
10,3,0.5317,1624.459,0.2135,800,-58,201,495,824,1189,1587,2019,2
11,3,0.5891,1552.712,0.22168,800,-132,129,424,753,1112,1502,1921,2
12,3,0.6373,1506.412,0.22796,800,-186,79,378,706,1064,1448,1857,2
13,3,0.6806,1476.523,0.23285,800,-228,43,346,677,1033,1413,1815,2
14,3,0.7211,1455.953,0.23682,800,-262,16,323,656,1012,1388,1784,2
15,3,0.7527,1442.087,0.2404,800,-290,-6,306,642,999,1374,1766,2
16,3,0.7679,1434.238,0.24403,800,-311,-22,295,634,994,1371,1764,2
17,3,0.7642,1431.11,0.24794,800,-323,-33,287,631,996,1379,1779,2
18,3,0.7482,1429.155,0.25198,800,-331,-41,281,629,1000,1392,1802,2
19,3,0.7267,1425.326,0.25598,800,-337,-49,274,625,1002,1403,1824,2
20,3,0.7032,1418.476,0.25989,800,-342,-57,265,618,1001,1409,1841,2
21,3,0.6782,1409.229,0.26384,800,-347,-67,254,609,996,1412,1856,2
22,3,0.6522,1398.169,0.26792,800,-352,-77,242,598,990,1414,1868,2
23,3,0.6262,1385.371,0.27191,800,-358,-87,228,585,981,1412,1878,2
24,3,0.6013,1370.546,0.27539,800,-363,-98,214,571,968,1406,1880,2
4,4,0.7672,4136.299,0.15684,500,1807,2389,3000,3636,4297,4979,5681,1
5,4,0.6482,3623.456,0.17439,500,1413,1940,2511,3123,3774,4462,5186,1
6,4,0.5632,2900.447,0.19057,500,955,1389,1871,2400,2976,3597,4261,1
7,4,0.4863,2424.109,0.2039,500,673,1039,1456,1924,2444,3017,3641,1
8,4,0.4302,2106.555,0.21598,500,486,806,1179,1607,2090,2631,3231,1
9,4,0.4321,1871.491,0.22766,500,333,627,973,1371,1825,2336,2905,1
10,4,0.4881,1711.607,0.24076,500,202,489,825,1212,1649,2138,2678,1
11,4,0.5825,1598.018,0.25575,500,78,371,711,1098,1528,2000,2513,1
12,4,0.6678,1526.346,0.27024,500,-25,281,633,1026,1457,1921,2418,1
13,4,0.7242,1473.629,0.2835,500,-107,210,573,974,1407,1870,2359,1
14,4,0.7587,1423.718,0.29393,500,-168,154,521,924,1356,1815,2297,1
15,4,0.7822,1370.547,0.30204,500,-217,105,471,871,1297,1748,2219,1
16,4,0.7966,1334.952,0.30757,500,-248,73,438,835,1258,1702,2166,1
17,4,0.8054,1321.438,0.31114,500,-266,57,424,821,1244,1688,2151,1
18,4,0.8084,1315.262,0.31327,500,-275,49,416,815,1239,1684,2146,1
19,4,0.8041,1308.547,0.31429,500,-276,45,411,809,1232,1676,2140,1
20,4,0.7912,1297.865,0.31482,500,-272,43,404,798,1219,1663,2128,1
21,4,0.7712,1284.754,0.3152,500,-264,42,395,785,1204,1648,2114,1
22,4,0.7469,1271.459,0.31566,500,-255,41,387,771,1188,1633,2102,1
23,4,0.7222,1262.164,0.31628,500,-245,42,381,762,1178,1625,2100,1
24,4,0.6991,1257.334,0.31696,500,-237,44,379,757,1174,1625,2107,1
4,4,0.0891,4009.525,0.15636,800,1683,2120,2625,3210,3883,4658,5548,2
5,4,-0.0491,3541.15,0.16054,800,1400,1775,2218,2741,3360,4094,4965,2
6,4,-0.0362,3002.299,0.16706,800,1027,1354,1742,2202,2750,3402,4179,2
7,4,0.0557,2616.819,0.17682,800,727,1031,1391,1817,2320,2914,3614,2
8,4,0.1899,2331.509,0.18968,800,477,773,1122,1532,2009,2563,3202,2
9,4,0.3154,2118.722,0.20292,800,278,572,918,1319,1779,2304,2898,2
10,4,0.4069,1963.533,0.21481,800,130,424,768,1164,1613,2117,2680,2
11,4,0.4873,1855.021,0.22441,800,20,318,663,1055,1495,1984,2521,2
12,4,0.5659,1780.125,0.2312,800,-62,241,589,980,1412,1884,2396,2
13,4,0.6483,1726.341,0.23622,800,-132,182,536,926,1351,1807,2293,2
14,4,0.7201,1691.655,0.2398,800,-186,139,500,892,1310,1754,2220,2
15,4,0.7759,1668.629,0.24275,800,-229,107,475,869,1284,1719,2172,2
16,4,0.8064,1655.384,0.24522,800,-257,87,460,855,1271,1702,2149,2
17,4,0.8111,1648.592,0.24757,800,-271,75,451,849,1266,1700,2148,2
18,4,0.7924,1643.852,0.25015,800,-274,69,444,844,1265,1705,2162,2
19,4,0.7577,1638.713,0.25299,800,-270,66,437,839,1265,1715,2185,2
20,4,0.7139,1631.219,0.25623,800,-265,62,429,831,1264,1725,2210,2
21,4,0.6699,1621.021,0.25952,800,-261,57,419,821,1259,1731,2233,2
22,4,0.6227,1607.445,0.2629,800,-257,50,406,807,1251,1733,2253,2
23,4,0.5732,1591.74,0.26613,800,-253,44,393,792,1239,1733,2272,2
24,4,0.5249,1576.273,0.26914,800,-249,37,379,776,1228,1732,2290,2
6,6,0.5209,4929.772,0.15679,350,2524,3151,3836,4580,5382,6241,7158,1
7,6,0.4856,4243.293,0.17552,350,1960,2538,3182,3893,4672,5518,6432,1
8,6,0.4609,3442.915,0.19228,350,1411,1905,2465,3093,3789,4556,5392,1
9,6,0.449,2879.591,0.20802,350,1035,1467,1965,2530,3163,3867,4642,1
10,6,0.4511,2501.805,0.22426,350,772,1166,1625,2152,2748,3414,4152,1
11,6,0.466,2220.683,0.24197,350,566,933,1368,1871,2443,3086,3800,1
12,6,0.4895,2037.941,0.26076,350,410,766,1192,1688,2255,2893,3602,1
13,6,0.5168,1903.183,0.27848,350,288,637,1059,1553,2119,2755,3461,1
14,6,0.5442,1794.777,0.29319,350,192,536,954,1445,2006,2636,3333,1
