age,interval,hcl,hcm,hcs,minus3sd,minus2sd,minus1sd,median,plus1sd,plus2sd,plus3sd,sex
7,4,0.6952,3.3542,0.15397,1.9,2.4,2.9,3.4,3.9,4.4,5,2
8,4,0.7374,2.8419,0.16676,1.5,1.9,2.4,2.8,3.3,3.8,4.4,2
9,4,0.7748,2.3945,0.18192,1.2,1.6,2,2.4,2.8,3.3,3.8,2
10,4,0.8085,2.0271,0.19915,0.9,1.3,1.6,2,2.4,2.9,3.3,2
11,4,0.8391,1.7353,0.21812,0.7,1,1.4,1.7,2.1,2.5,2.9,2
12,4,0.8672,1.5073,0.23888,0.5,0.8,1.2,1.5,1.9,2.2,2.6,2
13,4,0.8931,1.3296,0.26147,0.3,0.7,1,1.3,1.7,2,2.4,2
14,4,0.9172,1.1864,0.28575,0.2,0.5,0.9,1.2,1.5,1.9,2.2,2
15,4,0.9397,1.0642,0.31149,0.1,0.4,0.7,1.1,1.4,1.7,2.1,2
16,4,0.9608,0.9573,0.33813,0,0.3,0.6,1,1.3,1.6,1.9,2
17,4,0.9808,0.8664,0.36514,0,0.2,0.6,0.9,1.2,1.5,1.8,2
18,4,0.9996,0.794,0.39238,0,0.2,0.5,0.8,1.1,1.4,1.7,2
19,4,1.0175,0.7411,0.41976,0,0.1,0.4,0.7,1.1,1.4,1.7,2
20,4,1.0344,0.6953,0.44691,0,0.1,0.4,0.7,1,1.3,1.6,2
21,4,1.0506,0.6457,0.4735,0,0,0.3,0.6,0.9,1.2,1.5,2
22,4,1.0661,0.5953,0.49958,0,0,0.3,0.6,0.9,1.2,1.5,2
23,4,1.081,0.5473,0.52538,0,0,0.3,0.5,0.8,1.1,1.4,2
24,4,1.0952,0.5013,0.55112,0,0,0.2,0.5,0.8,1,1.3,2
6,6,0.4441,8.864,0.1101,6.2,7,7.9,8.9,9.9,10.9,12.1,1
7,6,0.4988,6.9439,0.11688,4.7,5.4,6.2,6.9,7.8,8.7,9.6,1
8,6,0.5465,5.5066,0.12498,3.6,4.2,4.8,5.5,6.2,7,7.7,1
9,6,0.5888,4.526,0.13512,2.8,3.4,3.9,4.5,5.2,5.8,6.5,1
10,6,0.6269,3.7983,0.14708,2.3,2.7,3.3,3.8,4.4,5,5.6,1
11,6,0.6616,3.2122,0.16026,1.8,2.2,2.7,3.2,3.7,4.3,4.9,1
